index,core,pan
1,530,530
2,493,569
3,311,666
4,311,669
5,311,670
6,305,680
7,304,682
8,278,716
9,273,764
10,273,767
11,273,768
12,260,817
13,233,896
14,233,898
15,233,904
16,227,974
17,227,986
18,227,988
19,223,1011
20,219,1084
21,218,1091
22,218,1092
23,218,1102
24,208,1135
25,208,1137
26,208,1142
27,206,1145
28,202,1149
29,202,1149
30,191,1169
31,191,1176
32,190,1189
33,190,1194
34,190,1199
35,188,1199
36,188,1211
37,188,1211
38,188,1221
39,185,1243
40,184,1250
41,184,1251
42,184,1252
43,183,1252
44,165,1260
45,165,1260
46,165,1261
47,165,1264
48,163,1281
49,163,1282
50,163,1284
51,163,1284
52,154,1287
53,154,1292
54,153,1292
55,153,1297
56,150,1340
57,149,1344
58,149,1349
59,149,1349
60,149,1355
61,149,1358
62,147,1362
63,147,1365
64,146,1369
65,145,1371
66,145,1373
67,145,1376
68,145,1376
69,145,1379
70,145,1380
71,145,1384
72,143,1384
73,143,1385
74,143,1387
75,142,1390
76,142,1391
77,142,1397
78,142,1398
79,142,1401
80,142,1401
81,142,1401
82,142,1401
83,137,1402
84,137,1410
85,137,1415
86,137,1415
87,137,1420
88,137,1423
89,137,1424
90,136,1429
91,136,1429
92,136,1434
93,136,1434
94,136,1435
95,136,1446
96,136,1447
97,136,1469
98,136,1471
99,136,1472
100,135,1478
101,134,1478
102,134,1481
103,133,1486
104,133,1486
105,133,1486
106,133,1486
107,133,1486
108,133,1488
109,133,1491
110,133,1494
111,117,1498
112,117,1498
113,117,1499
114,117,1499
115,117,1501
116,117,1501
117,117,1501
118,117,1501
119,117,1506
120,117,1506
121,117,1506
122,117,1507
123,117,1507
124,116,1509
125,116,1510
126,116,1511
127,116,1512
128,116,1512
129,116,1516
130,116,1516
131,116,1517
132,116,1519
133,116,1522
134,116,1526
135,116,1526
136,116,1527
137,116,1527
138,116,1528
139,116,1529
140,116,1529
141,116,1534
142,116,1536
143,116,1536
144,116,1536
